Date,Type,category_name,Amount,Currency,Note,Labels,date_format,amount
2024-01-27T03:45:31+00:00,Expense,Transport,-1.25,USD,,,2024-01,1.25
2024-01-27T03:45:37+00:00,Expense,Groceries,-0.8125,USD,,,2024-01,0.8125
2024-01-27T05:38:21+00:00,Expense,Coffee,-0.875,USD,,,2024-01,0.875
2024-01-27T13:15:50+00:00,Expense,Acommodation,-8.28125,USD,Vine way nuwara ella 1 night,,2024-01,8.28125
2024-01-28T03:56:50+00:00,Expense,Transport,-0.9375,USD,,,2024-01,0.9375
2024-01-28T03:56:57+00:00,Expense,Groceries,-1.1875,USD,,,2024-01,1.1875
2024-01-28T03:57:08+00:00,Expense,Restaurant,-0.9375,USD,,,2024-01,0.9375
2024-01-28T04:53:21+00:00,Expense,Transport,-11.40625,USD,Train to Colombo  second class reservation ,,2024-01,11.40625
2024-01-28T06:10:02+00:00,Expense,Coffee,-2.59375,USD,,,2024-01,2.59375
2024-01-28T06:10:22+00:00,Expense,Transport,-0.25,USD,Bus nuwara eliya to nanu oya,,2024-01,0.25
2024-01-28T16:09:29+00:00,Expense,Transport,-0.5625,USD,Coñombo to negombo,,2024-01,0.5625
2024-01-28T17:51:00+00:00,Expense,Restaurant,-8.953125,USD,Italian carbonara,,2024-01,8.953125
2024-01-29T03:20:51+00:00,Expense,Transport,-2.03125,USD,,,2024-01,2.03125
2024-01-29T03:21:00+00:00,Expense,Transport,-1.21875,USD,,,2024-01,1.21875
2024-01-29T08:31:38+00:00,Expense,Acommodation,-7.8125,USD,Negombo 1 nights ,,2024-01,7.8125
2024-01-29T09:01:43+00:00,Expense,Acommodation,-4.0625,USD,Ceylon negombo 1 night,,2024-01,4.0625
2024-01-29T09:01:53+00:00,Expense,Transport,-2.3125,USD,,,2024-01,2.3125
2024-01-29T10:14:04+00:00,Expense,Restaurant,-3.4375,USD,,,2024-01,3.4375
2024-01-30T04:12:20+00:00,Expense,Transport,-2.5,USD,Tuk to airport ,,2024-01,2.5
2024-01-30T04:13:03+00:00,Expense,Restaurant,-5.625,USD,,,2024-01,5.625
2024-01-30T04:13:47+00:00,Expense,Utilities,-6.100625,USD,28 day data plan 3 gb daily airtel,,2024-01,6.100625
2024-01-30T05:50:01+00:00,Expense,Restaurant,-8.1748375,USD,Kochin airport sandwich and xogee,,2024-01,8.1748375
2024-01-30T14:00:15+00:00,Expense,Acommodation,-17.3989825,USD,New delhi hindustan 2 night ,,2024-01,17.3989825
2024-01-30T16:00:02+00:00,Expense,Restaurant,-3.36903,USD,Dhal makani 2 naans,,2024-01,3.36903
2024-01-31T04:51:52+00:00,Expense,Restaurant,-3.0080625,USD,,,2024-01,3.0080625
2024-01-31T05:11:35+00:00,Expense,Groceries,-0.240645,USD,,,2024-01,0.240645
2024-01-31T05:13:43+00:00,Expense,Coffee,-0.721935,USD,,,2024-01,0.721935
2024-01-31T05:19:54+00:00,Expense,Personal Care,-14.4387,USD,Sunscreen face and lotion,,2024-01,14.4387
2024-01-31T05:37:22+00:00,Expense,Transport,-0.721935,USD,Metro x2,,2024-01,0.721935
2024-01-31T07:13:53+00:00,Expense,Shopping,-72.1935,USD,Yamaha guitar used,music,2024-01,72.1935
2024-01-31T08:24:13+00:00,Expense,Restaurant,-2.73132075,USD,Mañai kofta,,2024-01,2.73132075
2024-01-31T14:03:50+00:00,Expense,Coffee,-2.165805,USD,,,2024-01,2.165805
2024-01-31T14:09:33+00:00,Expense,Personal Care,-5.053545,USD,Laundry 2 kg 800 grans,,2024-01,5.053545
2024-01-31T14:13:52+00:00,Expense,Shopping,-2.40645,USD,,,2024-01,2.40645
2024-01-31T16:30:40+00:00,Expense,Restaurant,-4.8129,USD,Palak paneer hostel,,2024-01,4.8129
2024-02-01T03:15:13+00:00,Expense,Education,-1050.0,USD,Yoga TTC 200 Hours Vinyasa Yogashala ,,2024-02,1050.0
2024-02-01T03:15:56+00:00,Expense,Education,-200.0,USD,Yoga TTC Lost Deposit First School Vinyasa,,2024-02,200.0
2024-02-01T03:36:09+00:00,Expense,Transport,-1.0829025,USD,,,2024-02,1.0829025
2024-02-01T03:36:18+00:00,Expense,Coffee,-0.6016125,USD,,,2024-02,0.6016125
